userID,game,action,hours_played,genre,metascore,user_score,score
46637811,Path of Exile,play,13.1,Action RPG,86,81,292.0
181154544,Path of Exile,purchase,1.0,Action RPG,86,81,292.0
199637398,Path of Exile,purchase,1.0,Action RPG,86,81,292.0
199637398,Path of Exile,play,3.7,Action RPG,86,81,292.0
20464587,Path of Exile,purchase,1.0,Action RPG,86,81,292.0
20464587,Path of Exile,play,56.0,Action RPG,86,81,292.0
68540434,Path of Exile,purchase,1.0,Action RPG,86,81,292.0
191792074,Path of Exile,purchase,1.0,Action RPG,86,81,292.0
26729643,Path of Exile,purchase,1.0,Action RPG,86,81,292.0
26729643,Path of Exile,play,96.0,Action RPG,86,81,292.0
52321307,Path of Exile,purchase,1.0,Action RPG,86,81,292.0
246439849,Path of Exile,purchase,1.0,Action RPG,86,81,292.0
176771895,Path of Exile,purchase,1.0,Action RPG,86,81,292.0
2083767,Path of Exile,purchase,1.0,Action RPG,86,81,292.0
2083767,Path of Exile,play,13.1,Action RPG,86,81,292.0
67694595,Path of Exile,purchase,1.0,Action RPG,86,81,292.0
67694595,Path of Exile,play,337.0,Action RPG,86,81,292.0
